검색어,기사내용
유한양행,"유한양행은 얀센 바이오테크(Janssen Biotech Inc)와 EGFR표적 항암 치료제의 기술이전 계약을 체결했다고 5일 공시했다.

총 기술수출금액은 12억5500만달러(한화 약 1조3416억원)로 계약금은 5000만달러다. 개발과 허가, 매출에 따른 단계별 마일스톤으로 총 12억500만달러를 수령 예정이며 경상기술료는 순매출액에 따라 책정된다. 

유한양행 관계자는 ""본 기술이전 계약의 수익 인식은 임상시험과 허가 등 성공여부에 따라 달라질 수 있으며 미실현 가능성도 있다""고 덧붙였다. "
유한양행,"유한양행이 1조4000억원 규모의 기술이전 계약 체결 소식에 가격제한폭까지 치솟았다.

5일 오전 9시 3분 현재 유한양행은 전날보다 5만3000원(29.78%) 오른 23만1000원에 거래되고 있다. 사흘 연속 오르는 강세다.

유한양행은 글로벌 제약사 존슨앤존슨(J&J)의 자회사인 얀센 바이오테크(Janssen Biotech)와 EGFR TKI 저해제 ‘레이저티닙’(프로젝트명 YH25448)의 기술수출 계약을 체결했다고 이날 밝혔다.

총 계약규모는 약 1조4000억원(12억5500만달러)으로 반환 의무가 없는 계약금은 560억원(5000만 달러)에 이른다.

이번 계약에 따라 얀센은 전세계에서 레이저티닙에 대한 개발, 제조 및 상업화에 대한 독점적 권리를 가지게 된다. 국내에서 개발 및 상업화 권리는 유한양행이 유지한다. 유한양행은 얀센 바이오텍과 내년부터 레이저티닙의 단일요법과 병용요법에 대한 글로벌 임상시험을 공동으로 진행할 예정이다.

유한양행은 개발, 허가, 상업화에 성공하게 되면 단계별 마일스톤 기술료로 총 12억500만 달러(약 1조3500억원)을 받을 수 있다. 그러나 임상시험과 허가, 상업화에 실패할 경우 기술이전 계약은 종료된다. 이 경우 유한양행이 얀센 측에 지급할 위약금은 없다."
유한양행,"유한양행이 다국적 제약사 얀센에 기술수출했다는 소식에 주가가 5일 장 초반 상한가를 찍었다. 

유한양행은 이날 오전 9시 5분 현재 유가증권시장에서 전 거래일보다 5만3000원(29.78%) 오른 23만1000원에 거래되고 있다. 

앞서 유한양행은 얀센 바이오테크 (Janssen Biotech, Inc.)와 상피세포 성장인자 수용체 표적 항암 치료제 기술을 이전하는 계약을 체결했다고 이날 장 개장 전 공시했다.

이번 계약금은 5000만 달러, 개발 및 상업화까지 단계별 기술료(마일스톤)는 12억500만 달러로, 총 기술수출 규모는 12억5500만 달러(약 1조4000억원)에 이른다. 

서근희 삼성증권 연구원은 ""유한양행의 이번 기술수출 계약 소식은 한미약품 이후 기술 이전 계약에 목마른 투자자들의 갈증을 해소해줄 전망""이라며 ""한미약품과 사노피 기술 이전 계약 체결 이후 2번째로 큰 계약 규모이다""라고 말했다.
"
유한양행,"유한양행은 얀센 바이오테크((Janssen Biotech, Inc.)와 EGFR(상피세포성장인자수용체)표적 항암 치료제 기술이전 계약을 맺었다고 5일 공시했다. 

총 기술수출금액은 미화 12억5천500만 달러로 계약금이 5천만 달러이며 개발, 허가와 매출에 따른 단계별 마일스톤으로 총 12억500만 달러를 수령할 예정이다.

계약 지역은 한국을 제외한 전 세계다. "
유한양행,"유한양행이 1조4000억원 규모 기술 수출 소식에 가격제한폭까지 치솟았다. 유한양행우도 상한가다. 

5일 오전 9시9분 유한양행은 전일대비 5만3000원(29.78%) 급등한 23만1000원을 기록 중이다. 유한양행우는 5만2500원(29.91%) 올라 22만8000원에 거래되고 있다. 

이날 유한양행은 다국적 제약사인 얀센(Janssen)과 비소세포폐암치료제인 레이저티닙(YH25448)의 글로벌 판권(한국제외)에 대한 기술이전 계약을 체결했다고 공시했다.

계약규모는 약 1조4000억원(12억5500만달러)로 반환 의무가 없는 계약금은 560억원(5000만 달러)이다.

얀센은 한국을 제외한 전 세계에서 레이저티닙에 대한 개발, 제조, 상업화에 대한 독점적 권리를 갖는다. 국내 개발 및 상업화 권리는 유한양행이 유지한다.

유한양행과 얀센은 내년에 레이저티닙의 단일요법과 병용요법에 대한 글로벌 임상시험을 공동으로 진행할 계획이다. 레이저티닙은 경구용 3세대 상피세포성장인자수용체 타이로신 인산화효소(EGFR TK) 억제제다. 

이와 관련 선민정 하나금융투자 연구원은 ""레이저티닙의 경우 올해 3개의 포스터를 국제 학회에서 발표하면서 시장 및 글로벌 제약사들의 관심이 높았던 후보물질""이라며 ""이번 유한양행의 기술이전은 제약바이오 섹터 투자자들이 그토록 오랫동안 기다렸던 초대박 기술이전이라 할 수 있다""고 평가했다. 
"
라돈,"최근 침대 매트리스에 이어 온수매트에서도 라돈이 검출됐다는 소식이 알려지면서, 가정 곳곳 라돈 검출에 대한 우려가 불식되지 않고 있다. 이에 직접 라돈측정기를 사용하려는 주민이 늘고 있다.

대구의 경우 대구시가 지난 8월부터 가정용 라돈측정기를 대여해주고 있다. 대여료는 1천원.

대구시는 당시 가정용 라돈측정기 50대를 구입했다. 8개 구청 및 군청에 신분증을 지참해 가서 신청서를 작성, 사용료 1천원을 선납한 뒤 1박2일간 빌릴 수 있다.

라돈 측정기는 벽·천장·바닥 등에서 50㎝ 이상 띄워 사용하면 된다. 출입문, 창가, 전자제품으로부터 먼 곳에 측정기를 둔 뒤 방문 및 창문을 닫아 공간을 밀폐시킨 다음, 측정기 전원을 가동하면 10분 단위로 자동 측정된다. 1시간 이상 가동해야 정확한 측정값을 얻을 수 있다."
라돈," 침대, 생리대, 마스크 등에서 라돈이 검출되면서, 발암 물질 ‘라돈’에 대한 관심이 뜨겁다.

라돈은 자연 방사성 가스로 1급 발암물질에 속한다. 라돈은 무색의 기체로 공기보다 약 8배 무겁다. 토양이나 암석 등에 존재하며 실생활에서는 실내 바닥이나 갈라진 벽 틈 사이로 유입되기도 한다.

라돈은 ‘폐암’의 원인 중 하나로 꼽혀 국제암연구기구(IARC)는 1군 발암물질로 분류하고 있다. 라돈에서 나오는 방사선 때문에 미국환경보호국(US EPA)은 라돈을 일반 인구 집단에서 흡연 다음 순으로 높은 폐암의 원인이라고 설명하고 있다.

한편, 원자력 안전 위원회는 생활방사선 의심제품에 대한 조사를 확대하기 위해 산하기관인 한국원자력안전기술원에 ‘생활방사선 안전센터’를 지난 2일 발족했다. 원안위는 “연내 조사 인력을 15명에서 47명으로 늘리고, 10대인 분석 장비도 20대까지 확충할 것”이라며 “의심제품을 신속하게 평가해 홈페이지에 결함 제품 정보와 조치 현황, 소비자 대응 요령 등을 공개해 나갈 계획”이라고 전했다. 
"
라돈,"하이젠 온수매트가 '라돈 온수매트'로 언급되고 있다.

최근 한 온라인커뮤니티에서는 하이젠 온수매트 구매 후 아이가 기침을 했다는 골자의 게시물이 업로드돼 시선을 모았다. 글쓴이는 라돈 아이를 대여해 측정한 결과 하이젠 온수매트에서 라돈 16.9pCi/L가 나왔다고 알렸다.

이에 하이젠 온수매트를 사용하고 있던 이들은 라돈 측정기를 대여해 라돈을 측정했고, 환경부의 권고를 웃도는 라돈이 검출된 것을 확인해 충격을 자아냈다.

이에 하이젠 온수매트 제조사 (주)대현하이텍은 (주)알엔테크를 통해 진행한 라돈 측정시험결과표 검사 결과를 공지하며 소비자들의 불안한 마음을 달랬다. (주) 대현하이텍은 ""불편함을 느끼시는 분들에게는 기본 매트를 신규 매트로 교환해주겠다""는 입장을 전달한 상태다.

한편 하이젠 온수매트 라돈 검출 논란 직후 소비자들은 포털사이트 네이버에 '온수매트 라돈피해'라는 카페를 만들어 각자의 정보를 교환하고 있다.

이곳에는 '화가 난다', '고객센터 연락이 안 된다'는 글이 잇따라 게재돼 누리꾼들의 이목이 집중되고 있다."
라돈,"겨울 난방 제품인 온수매트에서 라돈이 검출된 가운데 해당 업체가 별 문제가 되지 않는다고 말했다.

5일 방송된 MBC '생방송 오늘 아침'에 따르면 일부 온수매트에서 라돈이 검출됐다.

이날 방송에서 한 주부는 집에서 사용하던 온수매트에서 라돈이 검출돼 비닐로 몇 겹 포장해 창고에 보관해 놓고 있다고 말했다. 

이 주부는 ""세살 된 아이와 함께 라돈이 나오는 온수 매트에서 생활했다""며 불안감을 감추지 못했다.

해당 온수매트에서 나온 라돈 수치는 218베크렐(Bq/㎥)로 기준치를 훌쩍 넘어서는 수치였다.

음이온 기능을 강조했던 이 매트는 오히려 음이온 때문에 라돈이 검출된 것으로 보인다. '공포의 대상'이 된 온수매트를 사용한 소비자들은 한결 같이 사용 후 기침과 콧물이 많이 나왔다고 설명했다.

한 주부는 아이와 함께 사용했던 온수매트를 공식 기관에 의뢰해 라돈 수치를 쟀더니 기준치의 10배가 넘는 1,520베크렐이 검출됐다며 불안해 했다.

그러나 해당 온수매트 제조사는 이에 대해 ""한 달 동안 측정을 했는데 수치상으로 정상으로 나와서 별 문제가 되지 않는다""고 말했다. 

한편 방송이 나간 뒤, 온수매트 라돈 피해자 모임 카페에는 해당 제품에 대한 사용 후기 등 라돈 피해를 본 거 같다는 내용의 글이 올라오고 있다."
라돈,"매트리스, 생리대에 이어 온수 매트에서도 라돈이 검출돼 이슈로 떠올랐다.

5일 오전 방송된 MBC ‘생방송 오늘 아침’에서는 라돈이 검출된 일부 온수 매트가 밝혀졌다.

이날 방송에서는 가정용 온수 매트에서 라돈이 검출됐다는 한 주부의 사연이 공개됐다. 검사결과 해당 온수 매트에서 검출된 라돈은 218Bq/㎥로, 법적 기준치를 웃도는 수치였다.

또 다른 주부 역시 관련 기관의 협조를 받아 온수 매트의 라돈 수치를 측정한 결과, 기준치의 10배가 넘는 1,520 Bq/㎥가 검출됐다고 밝혔다. 

그러나 해당 온수 매트 제조사는 “한 달 동안 측정을 했는데 정상 수치로 나왔기 때문에 별 문제가 되지 않는다”고 해명했다.

앞서 라돈 온수 매트 괴담은 한 블로거가 온수 매트 구매 후 자녀가 기침을 시작했다는 글을 게재하면서 시작됐다. 

해당 글 작성자는 “당시 라돈 문제가 크게 불거졌기에 불안한 마음에 라돈 측정기를 대여해 측정했다”고 밝혔다. 

해당 온수 매트에서는 16.9pCi/L의 라돈이 측정됐으며, 이는 기준치인 4pCi/L의 네 배에 달하는 수치였다. "
